"i" "era" "col" "X" "Y" "mutType"
19 "early" "orange" 4.5 10.9040015021661 "NRTI"
19 "early" "red" 4.5 21.6585025420509 "NNRTI"
19 "late" "blue" 4.5 3.48255617541524 "PI"
19 "late" "green" 4.5 14.5905505653171 "3TC/FTC"
19 "late" "orange" 4.5 8.53164453446152 "NRTI"
19 "late" "red" 4.5 14.1866234965934 "NNRTI"
20 "early" "blue" 4.75 8.93227972630195 "PI"
20 "early" "green" 4.75 24.5381406883367 "3TC/FTC"
20 "early" "orange" 4.75 11.2085474204545 "NRTI"
20 "early" "red" 4.75 22.1650119947011 "NNRTI"
20 "late" "blue" 4.75 3.68617749140644 "PI"
20 "late" "green" 4.75 14.895210813373 "3TC/FTC"
20 "late" "orange" 4.75 8.63434124815557 "NRTI"
20 "late" "red" 4.75 14.5922655118302 "NNRTI"
21 "early" "blue" 5 9.02159158681117 "PI"
21 "early" "green" 5 25.2972188887067 "3TC/FTC"
21 "early" "orange" 5 11.3112441341485 "NRTI"
21 "early" "red" 5 23.0250719622521 "NNRTI"
21 "late" "blue" 5 3.78887420510048 "PI"
21 "late" "green" 5 15.1998138965451 "3TC/FTC"
21 "late" "orange" 5 8.73698079696585 "NRTI"
21 "late" "red" 5 14.9978503621832 "NNRTI"
22 "early" "blue" 5.25 9.37387679935404 "PI"
22 "early" "green" 5.25 25.8543335547149 "3TC/FTC"
22 "early" "orange" 5.25 11.464431731433 "NRTI"
22 "early" "red" 5.25 23.6831683954413 "NNRTI"
22 "late" "blue" 5.25 3.8410228703203 "PI"
22 "late" "green" 5.25 15.453868931243 "3TC/FTC"
22 "late" "orange" 5.25 9.04164104502175 "NRTI"
22 "late" "red" 5.25 15.1004899109935 "NNRTI"
23 "early" "blue" 5.5 9.84303905724521 "PI"
23 "early" "green" 5.5 26.4618819394298 "3TC/FTC"
23 "early" "orange" 5.5 11.8194685333119 "NRTI"
23 "early" "red" 5.5 24.3917557122209 "NNRTI"
23 "late" "blue" 5.5 3.89322870042389 "PI"
23 "late" "green" 5.5 15.7080954605922 "3TC/FTC"
23 "late" "orange" 5.5 9.09378971024156 "NRTI"
23 "late" "red" 5.5 15.3546592754589 "NNRTI"
24 "early" "blue" 5.75 9.96166942368138 "PI"
24 "early" "green" 5.75 26.8169759061924 "3TC/FTC"
24 "early" "orange" 5.75 12.2756014321391 "NRTI"
24 "early" "red" 5.75 24.8983223297548 "NNRTI"
24 "late" "blue" 5.75 3.89488648205324 "PI"
24 "late" "green" 5.75 15.760244125812 "3TC/FTC"
24 "late" "orange" 5.75 9.14593837546137 "NRTI"
24 "late" "red" 5.75 15.6087714750406 "NNRTI"
25 "early" "blue" 6 10.1387052312617 "PI"
25 "early" "green" 6 27.4245814557911 "3TC/FTC"
25 "early" "orange" 6 12.9841887489187 "NRTI"
25 "early" "red" 6 26.4652546675723 "NNRTI"
25 "late" "blue" 6 3.99752603086352 "PI"
25 "late" "green" 6 16.1658289761651 "3TC/FTC"
25 "late" "orange" 6 9.19808704068118 "NRTI"
25 "late" "red" 6 15.7619019074413 "NNRTI"
26 "early" "blue" 6.25 10.4032995782634 "PI"
26 "early" "green" 6.25 28.1331116076869 "3TC/FTC"
26 "early" "orange" 6.25 13.5917371336337 "NRTI"
26 "early" "red" 6.25 27.1737848194681 "NNRTI"
26 "late" "blue" 6.25 4.04978902585086 "PI"
26 "late" "green" 6.25 16.4200555055143 "3TC/FTC"
26 "late" "orange" 6.25 9.25029287078477 "NRTI"
26 "late" "red" 6.25 15.9656375532001 "NNRTI"
27 "early" "blue" 6.5 10.6971793496621 "PI"
27 "early" "green" 6.5 28.4881484095658 "3TC/FTC"
27 "early" "orange" 6.5 13.7953584496249 "NRTI"
27 "early" "red" 6.5 27.5793696698212 "NNRTI"
27 "late" "blue" 6.5 4.05144680748021 "PI"
27 "late" "green" 6.5 16.9266221230482 "3TC/FTC"
27 "late" "orange" 6.5 9.25200781729789 "NRTI"
27 "late" "red" 6.5 16.2702406363722 "NNRTI"
28 "early" "blue" 6.75 10.8742151572425 "PI"
28 "early" "green" 6.75 28.9443384732768 "3TC/FTC"
28 "early" "orange" 6.75 14.0495278140903 "NRTI"
28 "early" "red" 6.75 28.3384478701913 "NNRTI"
28 "late" "blue" 6.75 4.10359547270004 "PI"
28 "late" "green" 6.75 17.079752555449 "3TC/FTC"
28 "late" "orange" 6.75 9.65753550276717 "NRTI"
28 "late" "red" 6.75 16.423371068773 "NNRTI"
29 "early" "blue" 7 10.8759353968004 "PI"
29 "early" "green" 7 29.1984506728585 "3TC/FTC"
29 "early" "orange" 7 14.7075670823956 "NRTI"
29 "early" "red" 7 28.7945236041348 "NNRTI"
29 "late" "blue" 7 4.50918032305308 "PI"
29 "late" "green" 7 17.3338647550306 "3TC/FTC"
29 "late" "orange" 7 9.86127114852592 "NRTI"
29 "late" "red" 7 16.6270495496479 "NNRTI"
30 "early" "blue" 7.25 10.9944003555868 "PI"
30 "early" "green" 7.25 29.8059990575734 "3TC/FTC"
30 "early" "orange" 7.25 15.1636999812229 "NRTI"
30 "early" "red" 7.25 29.8564899411638 "NNRTI"
30 "late" "blue" 7.25 4.66242508522137 "PI"
30 "late" "green" 7.25 17.6385821679703 "3TC/FTC"
30 "late" "orange" 7.25 9.86298609503904 "NRTI"
30 "late" "red" 7.25 16.7802371469324 "NNRTI"
31 "early" "blue" 7.5 11.0837783791559 "PI"
31 "early" "green" 7.5 30.1611501892197 "3TC/FTC"
31 "early" "orange" 7.5 15.2158486464428 "NRTI"
31 "early" "red" 7.5 30.4641526556463 "NNRTI"
31 "late" "blue" 7.5 4.76500746914787 "PI"
31 "late" "green" 7.5 18.0946007370301 "3TC/FTC"
31 "late" "orange" 7.5 10.016059362556 "NRTI"
31 "late" "red" 7.5 17.6907308331901 "NNRTI"
32 "early" "blue" 7.75 11.1730902396651 "PI"
32 "early" "green" 7.75 30.617283088047 "3TC/FTC"
32 "early" "orange" 7.75 15.5709997780891 "NRTI"
32 "early" "red" 7.75 30.9202283895898 "NNRTI"
32 "late" "blue" 7.75 5.17059231950092 "PI"
32 "late" "green" 7.75 18.3487701014955 "3TC/FTC"
32 "late" "orange" 7.75 10.2702287270214 "NRTI"
32 "late" "red" 7.75 18.1972974507241 "NNRTI"
33 "early" "blue" 8 11.2039635775002 "PI"
33 "early" "green" 8 30.8713952876287 "3TC/FTC"
33 "early" "orange" 8 15.6231484433089 "NRTI"
33 "early" "red" 8 31.2753223563524 "NNRTI"
33 "late" "blue" 8 5.22285531448828 "PI"
33 "late" "green" 8 18.8049601652065 "3TC/FTC"
33 "late" "orange" 8 10.4233591594222 "NRTI"
33 "late" "red" 8 18.7039212331418 "NNRTI"
34 "early" "blue" 8.25 11.2057168985881 "PI"
34 "early" "green" 8.25 31.0750737685037 "3TC/FTC"
34 "early" "orange" 8.25 15.9277515264811 "NRTI"
34 "early" "red" 8.25 31.5294345559341 "NNRTI"
34 "late" "blue" 8.25 5.27500397970809 "PI"
34 "late" "green" 8.25 19.0589580350207 "3TC/FTC"
34 "late" "orange" 8.25 10.4755649895258 "NRTI"
34 "late" "red" 8.25 18.9075425491331 "NNRTI"
35 "early" "blue" 8.5 11.2366233179531 "PI"
35 "early" "green" 8.5 31.3796768516758 "3TC/FTC"
35 "early" "orange" 8.5 16.4343753088988 "NRTI"
35 "early" "red" 8.5 32.3390036398946 "NNRTI"
35 "late" "blue" 8.5 5.37764352851836 "PI"
35 "late" "green" 8.5 19.414109166667 "3TC/FTC"
35 "late" "orange" 8.5 10.5781473734523 "NRTI"
35 "late" "red" 8.5 18.9596912143529 "NNRTI"
36 "early" "blue" 8.75 11.238310475981 "PI"
36 "early" "green" 8.75 31.9872252363907 "3TC/FTC"
36 "early" "orange" 8.75 16.9914328100232 "NRTI"
36 "early" "red" 8.75 32.8455702574286 "NNRTI"
36 "late" "blue" 8.75 5.58137917427711 "PI"
36 "late" "green" 8.75 20.0722627647399 "3TC/FTC"
36 "late" "orange" 8.75 10.6809012520301 "NRTI"
