"Reg" "n" "drugtype" "count" "regCats" "c" "Ap" "Bp" "Cp"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NNRTI" 93 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NRTI" 4 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NRTI" 4 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NRTI" 4 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-EFV (n=122)" 122 "NRTI" 4 "M184VI-NNRTI-NRTI" 0.00819672131147541 "3TC" "AZT" "EFV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
"3TC-AZT-IDV (n=50)" 50 "M184VI" 41 "M184VI-NRTI-PI" 0.02 "3TC" "AZT" "IDV"
